"ITTER107","Territorio","TIPO_DATO_CN1","Tipo aggregato (milioni di euro)","PRODOTTI1","Attività non finanziarie","VAL","Valutazione","CORREZ","Correzione","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11","totale capitale fisso per tipo di attività","V","prezzi correnti","N","dati grezzi","2019M10","Ott-2019","2019-Q1","T1-2019",79300.1,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11","totale capitale fisso per tipo di attività","V","prezzi correnti","N","dati grezzi","2019M10","Ott-2019","2019-Q2","T2-2019",84194.4,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11","totale capitale fisso per tipo di attività","Y","prezzi dell'anno precedente","N","dati grezzi","2019M10","Ott-2019","2019-Q1","T1-2019",78918.7,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11","totale capitale fisso per tipo di attività","Y","prezzi dell'anno precedente","N","dati grezzi","2019M10","Ott-2019","2019-Q2","T2-2019",83979.2,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11","totale capitale fisso per tipo di attività","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2019M10","Ott-2019","2019-Q1","T1-2019",78303.5,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11","totale capitale fisso per tipo di attività","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2019M10","Ott-2019","2019-Q2","T2-2019",83324.6,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11K","totale costruzioni ","V","prezzi correnti","N","dati grezzi","2019M10","Ott-2019","2019-Q1","T1-2019",34817.8,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11K","totale costruzioni ","V","prezzi correnti","N","dati grezzi","2019M10","Ott-2019","2019-Q2","T2-2019",37298.3,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11K","totale costruzioni ","Y","prezzi dell'anno precedente","N","dati grezzi","2019M10","Ott-2019","2019-Q1","T1-2019",34525.4,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11K","totale costruzioni ","Y","prezzi dell'anno precedente","N","dati grezzi","2019M10","Ott-2019","2019-Q2","T2-2019",37137.8,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11K","totale costruzioni ","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2019M10","Ott-2019","2019-Q1","T1-2019",33906.2,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11K","totale costruzioni ","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2019M10","Ott-2019","2019-Q2","T2-2019",36471.8,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N111","abitazioni","V","prezzi correnti","N","dati grezzi","2019M10","Ott-2019","2019-Q1","T1-2019",18489.7,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N111","abitazioni","V","prezzi correnti","N","dati grezzi","2019M10","Ott-2019","2019-Q2","T2-2019",19951.5,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N111","abitazioni","Y","prezzi dell'anno precedente","N","dati grezzi","2019M10","Ott-2019","2019-Q1","T1-2019",18268.7,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N111","abitazioni","Y","prezzi dell'anno precedente","N","dati grezzi","2019M10","Ott-2019","2019-Q2","T2-2019",19786.6,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N111","abitazioni","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2019M10","Ott-2019","2019-Q1","T1-2019",18077.7,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N111","abitazioni","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2019M10","Ott-2019","2019-Q2","T2-2019",19579.7,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N112","fabbricati non residenziali e altre opere","V","prezzi correnti","N","dati grezzi","2019M10","Ott-2019","2019-Q1","T1-2019",16328,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N112","fabbricati non residenziali e altre opere","V","prezzi correnti","N","dati grezzi","2019M10","Ott-2019","2019-Q2","T2-2019",17346.9,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N112","fabbricati non residenziali e altre opere","Y","prezzi dell'anno precedente","N","dati grezzi","2019M10","Ott-2019","2019-Q1","T1-2019",16256.7,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N112","fabbricati non residenziali e altre opere","Y","prezzi dell'anno precedente","N","dati grezzi","2019M10","Ott-2019","2019-Q2","T2-2019",17351.3,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N112","fabbricati non residenziali e altre opere","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2019M10","Ott-2019","2019-Q1","T1-2019",15827.4,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N112","fabbricati non residenziali e altre opere","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2019M10","Ott-2019","2019-Q2","T2-2019",16893.1,,
