"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","SEXISTAT1","Sesso","ETA1","Classe di età","TITOLO_STUDIO","Titolo di studio","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","2019-Q1","T1-2019",82.180794,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","2019-Q2","T2-2019",82.045543,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","2019-Q4","T4-2019",82.366922,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","2019-Q3","T3-2019",81.968125,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","2020-Q2","T2-2020",84.414517,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","2020-Q1","T1-2020",83.751395,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","2020-Q3","T3-2020",83.460553,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","2020-Q4","T4-2020",83.127453,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","2019-Q1","T1-2019",45.705228,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","2019-Q2","T2-2019",44.951359,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","2019-Q4","T4-2019",45.75088,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","2019-Q3","T3-2019",44.607738,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","2020-Q2","T2-2020",47.931571,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","2020-Q1","T1-2020",47.266925,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","2020-Q3","T3-2020",45.215911,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","2020-Q4","T4-2020",47.0732,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y_GE15","15 anni e più","7","diploma","2019-Q1","T1-2019",28.840412,,
