"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","SEXISTAT1","Sesso","ETA1","Classe di età","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y15-64","15-64 anni","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",49.857607,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y25-34","25-34 anni","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",53.635204,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y50-64","50-64 anni","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",50.20176,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y15-34","15-34 anni","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",35.499876,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y_GE50","50 anni e più","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",32.131114,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y25-34","25-34 anni","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",70.386972,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y50-64","50-64 anni","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",71.312857,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",20.896599,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y15-34","15-34 anni","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",46.718308,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y35-49","35-49 anni","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",84.534187,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y_GE15","15 anni e più","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",44.657488,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y_GE15","15 anni e più","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",53.46127,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",17.916398,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y_GE50","50 anni e più","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",24.873164,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y35-49","35-49 anni","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",73.622339,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y15-34","15-34 anni","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",41.254598,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",14.692868,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y15-64","15-64 anni","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",58.696493,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y25-34","25-34 anni","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",62.128855,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y15-64","15-64 anni","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",67.585915,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y35-49","35-49 anni","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",62.829901,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y_GE50","50 anni e più","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",40.625036,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y50-64","50-64 anni","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",60.466496,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y_GE15","15 anni e più","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",36.454454,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y50-64","50-64 anni","2019M9G12","12-Set-2019","2019-Q1","T1-2019",60.542321,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y50-64","50-64 anni","2019M9G12","12-Set-2019","2019-Q2","T2-2019",61.078116,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","2019M9G12","12-Set-2019","2019-Q1","T1-2019",14.8525,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","2019M9G12","12-Set-2019","2019-Q2","T2-2019",15.108854,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y35-49","35-49 anni","2019M9G12","12-Set-2019","2019-Q1","T1-2019",62.792508,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y35-49","35-49 anni","2019M9G12","12-Set-2019","2019-Q2","T2-2019",62.918528,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y_GE50","50 anni e più","2019M9G12","12-Set-2019","2019-Q1","T1-2019",24.910747,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y_GE50","50 anni e più","2019M9G12","12-Set-2019","2019-Q2","T2-2019",25.213189,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y_GE15","15 anni e più","2019M9G12","12-Set-2019","2019-Q1","T1-2019",53.539115,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y_GE15","15 anni e più","2019M9G12","12-Set-2019","2019-Q2","T2-2019",53.833108,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","2019M9G12","12-Set-2019","2019-Q1","T1-2019",18.036367,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","2019M9G12","12-Set-2019","2019-Q2","T2-2019",18.665923,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y35-49","35-49 anni","2019M9G12","12-Set-2019","2019-Q1","T1-2019",84.59387,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y35-49","35-49 anni","2019M9G12","12-Set-2019","2019-Q2","T2-2019",84.796748,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y_GE15","15 anni e più","2019M9G12","12-Set-2019","2019-Q1","T1-2019",36.494587,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y_GE15","15 anni e più","2019M9G12","12-Set-2019","2019-Q2","T2-2019",36.707946,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y15-64","15-64 anni","2019M9G12","12-Set-2019","2019-Q1","T1-2019",67.661407,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y15-64","15-64 anni","2019M9G12","12-Set-2019","2019-Q2","T2-2019",68.032666,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y50-64","50-64 anni","2019M9G12","12-Set-2019","2019-Q1","T1-2019",50.200202,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y50-64","50-64 anni","2019M9G12","12-Set-2019","2019-Q2","T2-2019",50.59907,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y_GE50","50 anni e più","2019M9G12","12-Set-2019","2019-Q1","T1-2019",40.747965,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y_GE50","50 anni e più","2019M9G12","12-Set-2019","2019-Q2","T2-2019",41.232445,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y15-34","15-34 anni","2019M9G12","12-Set-2019","2019-Q1","T1-2019",35.629564,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y15-34","15-34 anni","2019M9G12","12-Set-2019","2019-Q2","T2-2019",35.970951,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y15-34","15-34 anni","2019M9G12","12-Set-2019","2019-Q1","T1-2019",41.322632,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y15-34","15-34 anni","2019M9G12","12-Set-2019","2019-Q2","T2-2019",41.638766,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y25-34","25-34 anni","2019M9G12","12-Set-2019","2019-Q1","T1-2019",62.150433,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y25-34","25-34 anni","2019M9G12","12-Set-2019","2019-Q2","T2-2019",62.243059,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y_GE15","15 anni e più","2019M9G12","12-Set-2019","2019-Q1","T1-2019",44.715811,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y_GE15","15 anni e più","2019M9G12","12-Set-2019","2019-Q2","T2-2019",44.968555,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y50-64","50-64 anni","2019M9G12","12-Set-2019","2019-Q1","T1-2019",71.470449,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y50-64","50-64 anni","2019M9G12","12-Set-2019","2019-Q2","T2-2019",72.148635,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y15-64","15-64 anni","2019M9G12","12-Set-2019","2019-Q1","T1-2019",49.885105,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y15-64","15-64 anni","2019M9G12","12-Set-2019","2019-Q2","T2-2019",50.156665,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y25-34","25-34 anni","2019M9G12","12-Set-2019","2019-Q1","T1-2019",53.738788,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y25-34","25-34 anni","2019M9G12","12-Set-2019","2019-Q2","T2-2019",54.197611,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y15-34","15-34 anni","2019M9G12","12-Set-2019","2019-Q1","T1-2019",46.727805,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y15-34","15-34 anni","2019M9G12","12-Set-2019","2019-Q2","T2-2019",47.018548,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y15-64","15-64 anni","2019M9G12","12-Set-2019","2019-Q1","T1-2019",58.74792,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y15-64","15-64 anni","2019M9G12","12-Set-2019","2019-Q2","T2-2019",59.069167,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y25-34","25-34 anni","2019M9G12","12-Set-2019","2019-Q1","T1-2019",70.328819,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y25-34","25-34 anni","2019M9G12","12-Set-2019","2019-Q2","T2-2019",70.066344,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","2019M9G12","12-Set-2019","2019-Q1","T1-2019",20.979898,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","2019M9G12","12-Set-2019","2019-Q2","T2-2019",21.952454,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y35-49","35-49 anni","2019M9G12","12-Set-2019","2019-Q1","T1-2019",73.633218,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y35-49","35-49 anni","2019M9G12","12-Set-2019","2019-Q2","T2-2019",73.796266,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y_GE50","50 anni e più","2019M9G12","12-Set-2019","2019-Q1","T1-2019",32.208024,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y_GE50","50 anni e più","2019M9G12","12-Set-2019","2019-Q2","T2-2019",32.597361,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y15-34","15-34 anni","2019M12G12","12-Dic-2019","2019-Q1","T1-2019",41.303425,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y15-34","15-34 anni","2019M12G12","12-Dic-2019","2019-Q2","T2-2019",41.60361,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y15-34","15-34 anni","2019M12G12","12-Dic-2019","2019-Q3","T3-2019",41.847377,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y_GE15","15 anni e più","2019M12G12","12-Dic-2019","2019-Q1","T1-2019",44.71551,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y_GE15","15 anni e più","2019M12G12","12-Dic-2019","2019-Q2","T2-2019",44.970429,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y_GE15","15 anni e più","2019M12G12","12-Dic-2019","2019-Q3","T3-2019",45.025863,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y_GE50","50 anni e più","2019M12G12","12-Dic-2019","2019-Q1","T1-2019",32.21143,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y_GE50","50 anni e più","2019M12G12","12-Dic-2019","2019-Q2","T2-2019",32.595832,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y_GE50","50 anni e più","2019M12G12","12-Dic-2019","2019-Q3","T3-2019",32.689406,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y15-64","15-64 anni","2019M12G12","12-Dic-2019","2019-Q1","T1-2019",67.658539,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y15-64","15-64 anni","2019M12G12","12-Dic-2019","2019-Q2","T2-2019",68.029051,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y15-64","15-64 anni","2019M12G12","12-Dic-2019","2019-Q3","T3-2019",68.154508,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y_GE15","15 anni e più","2019M12G12","12-Dic-2019","2019-Q1","T1-2019",36.497741,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y_GE15","15 anni e più","2019M12G12","12-Dic-2019","2019-Q2","T2-2019",36.717262,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y_GE15","15 anni e più","2019M12G12","12-Dic-2019","2019-Q3","T3-2019",36.775923,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y25-34","25-34 anni","2019M12G12","12-Dic-2019","2019-Q1","T1-2019",70.279897,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y25-34","25-34 anni","2019M12G12","12-Dic-2019","2019-Q2","T2-2019",69.996401,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y25-34","25-34 anni","2019M12G12","12-Dic-2019","2019-Q3","T3-2019",70.955264,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y35-49","35-49 anni","2019M12G12","12-Dic-2019","2019-Q1","T1-2019",73.643418,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y35-49","35-49 anni","2019M12G12","12-Dic-2019","2019-Q2","T2-2019",73.840829,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y35-49","35-49 anni","2019M12G12","12-Dic-2019","2019-Q3","T3-2019",73.862488,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y_GE50","50 anni e più","2019M12G12","12-Dic-2019","2019-Q1","T1-2019",24.916187,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y_GE50","50 anni e più","2019M12G12","12-Dic-2019","2019-Q2","T2-2019",25.218784,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y_GE50","50 anni e più","2019M12G12","12-Dic-2019","2019-Q3","T3-2019",25.34919,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y15-64","15-64 anni","2019M12G12","12-Dic-2019","2019-Q1","T1-2019",49.884873,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y15-64","15-64 anni","2019M12G12","12-Dic-2019","2019-Q2","T2-2019",50.155224,,
"IT","Italia","EMP_R","tasso di occupazione","2","femmine","Y15-64","15-64 anni","2019M12G12","12-Dic-2019","2019-Q3","T3-2019",50.228437,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y35-49","35-49 anni","2019M12G12","12-Dic-2019","2019-Q1","T1-2019",84.605634,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y35-49","35-49 anni","2019M12G12","12-Dic-2019","2019-Q2","T2-2019",84.834997,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y35-49","35-49 anni","2019M12G12","12-Dic-2019","2019-Q3","T3-2019",84.821341,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","2019M12G12","12-Dic-2019","2019-Q1","T1-2019",18.033348,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","2019M12G12","12-Dic-2019","2019-Q2","T2-2019",18.654629,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","2019M12G12","12-Dic-2019","2019-Q3","T3-2019",18.761014,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y50-64","50-64 anni","2019M12G12","12-Dic-2019","2019-Q1","T1-2019",60.545899,,
"IT","Italia","EMP_R","tasso di occupazione","9","totale","Y50-64","50-64 anni","2019M12G12","12-Dic-2019","2019-Q2","T2-2019",61.060212,,
