"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","SEXISTAT1","Sesso","ETA1","Classe di età","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y_GE15","15 anni e più","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",26086.53,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-24","15-24 anni","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",4324.663,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y25-34","25-34 anni","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",1744.02,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y50-64","50-64 anni","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",4633.209,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-34","15-34 anni","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",6068.683,,
"IT","Italia","INAC","inattivi (migliaia)","1","maschi","Y15-64","15-64 anni","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",4803.557,,
"IT","Italia","INAC","inattivi (migliaia)","2","femmine","Y15-64","15-64 anni","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",8409.649,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-64","15-64 anni","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",13213.206,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y_GE50","50 anni e più","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",17506.533,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y35-49","35-49 anni","2019M6G13","13-Giu-2019","2019-Q1","T1-2019",2511.313,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y_GE15","15 anni e più","2019M9G12","12-Set-2019","2019-Q1","T1-2019",26074.633,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y_GE15","15 anni e più","2019M9G12","12-Set-2019","2019-Q2","T2-2019",26044.581,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-24","15-24 anni","2019M9G12","12-Set-2019","2019-Q1","T1-2019",4328.112,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-24","15-24 anni","2019M9G12","12-Set-2019","2019-Q2","T2-2019",4319.543,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y25-34","25-34 anni","2019M9G12","12-Set-2019","2019-Q1","T1-2019",1743.769,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y25-34","25-34 anni","2019M9G12","12-Set-2019","2019-Q2","T2-2019",1742.362,,
