"ITTER107","Territorio","TIPO_DATO_CN1","Tipo aggregato (milioni di euro)","VAL","Valutazione","CORREZ","Correzione","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","V","prezzi correnti","N","dati grezzi","2019M10","Ott-2019","2019-Q1","T1-2019",260988.9,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","V","prezzi correnti","N","dati grezzi","2019M10","Ott-2019","2019-Q2","T2-2019",265132.2,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","Y","prezzi dell'anno precedente","N","dati grezzi","2019M10","Ott-2019","2019-Q1","T1-2019",262201,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","Y","prezzi dell'anno precedente","N","dati grezzi","2019M10","Ott-2019","2019-Q2","T2-2019",262260.9,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2019M10","Ott-2019","2019-Q1","T1-2019",256338,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2019M10","Ott-2019","2019-Q2","T2-2019",256396.6,,
"IT","Italia","P31_D_W2_S14","spesa per consumi finali sul territorio economico delle famiglie residenti e non residenti","V","prezzi correnti","N","dati grezzi","2019M10","Ott-2019","2019-Q1","T1-2019",263389,,
"IT","Italia","P31_D_W2_S14","spesa per consumi finali sul territorio economico delle famiglie residenti e non residenti","V","prezzi correnti","N","dati grezzi","2019M10","Ott-2019","2019-Q2","T2-2019",272098.3,,
"IT","Italia","P31_D_W2_S14","spesa per consumi finali sul territorio economico delle famiglie residenti e non residenti","Y","prezzi dell'anno precedente","N","dati grezzi","2019M10","Ott-2019","2019-Q1","T1-2019",264565.8,,
"IT","Italia","P31_D_W2_S14","spesa per consumi finali sul territorio economico delle famiglie residenti e non residenti","Y","prezzi dell'anno precedente","N","dati grezzi","2019M10","Ott-2019","2019-Q2","T2-2019",269116,,
"IT","Italia","P31_D_W2_S14","spesa per consumi finali sul territorio economico delle famiglie residenti e non residenti","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2019M10","Ott-2019","2019-Q1","T1-2019",258519.9,,
