"ITTER107","Territorio","TIPO_DATO_SEQNZCONTI1","Tipo aggregato (milioni di euro)","VAL","Valutazione","CORREZ","Correzione","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G1","variazione congiunturale","Y","dati destagionalizzati","2019M10_1","Ott-2019 (stima preliminare)","2019-Q1","T1-2019",0.114,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G1","variazione congiunturale","Y","dati destagionalizzati","2019M10_1","Ott-2019 (stima preliminare)","2019-Q2","T2-2019",0.071,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G1","variazione congiunturale","Y","dati destagionalizzati","2019M10_1","Ott-2019 (stima preliminare)","2019-Q3","T3-2019",0.078,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G4","variazione tendenziale","Y","dati destagionalizzati","2019M10_1","Ott-2019 (stima preliminare)","2019-Q1","T1-2019",-0.015,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G4","variazione tendenziale","Y","dati destagionalizzati","2019M10_1","Ott-2019 (stima preliminare)","2019-Q2","T2-2019",0.133,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G4","variazione tendenziale","Y","dati destagionalizzati","2019M10_1","Ott-2019 (stima preliminare)","2019-Q3","T3-2019",0.345,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2019M10_1","Ott-2019 (stima preliminare)","2019-Q1","T1-2019",429936.8,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2019M10_1","Ott-2019 (stima preliminare)","2019-Q2","T2-2019",430242,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2019M10_1","Ott-2019 (stima preliminare)","2019-Q3","T3-2019",430577.4,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G1","variazione congiunturale","Y","dati destagionalizzati","2020M1_1","Gen-2020 (stima preliminare)","2019-Q1","T1-2019",0.223,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G1","variazione congiunturale","Y","dati destagionalizzati","2020M1_1","Gen-2020 (stima preliminare)","2019-Q2","T2-2019",0.069,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G1","variazione congiunturale","Y","dati destagionalizzati","2020M1_1","Gen-2020 (stima preliminare)","2019-Q4","T4-2019",-0.339,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G1","variazione congiunturale","Y","dati destagionalizzati","2020M1_1","Gen-2020 (stima preliminare)","2019-Q3","T3-2019",0.06,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G4","variazione tendenziale","Y","dati destagionalizzati","2020M1_1","Gen-2020 (stima preliminare)","2019-Q1","T1-2019",0.074,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G4","variazione tendenziale","Y","dati destagionalizzati","2020M1_1","Gen-2020 (stima preliminare)","2019-Q2","T2-2019",0.239,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G4","variazione tendenziale","Y","dati destagionalizzati","2020M1_1","Gen-2020 (stima preliminare)","2019-Q4","T4-2019",0.012,,
